"","Inc_month","Site","Location","Depth","Analyte","Spike_µg_L","Mean_Spike_Conc","Volume_lake_water_L","Type","NO2_NO3_mgNL","NH4_mgNL","Conc_ugNLK","pH","Weight_g","AFDM_g","real_icu_hrc","delta_Conc_ugNL","delta_Conc_ugNLhr","water_delta_Conc_ugNLhr","net_delta_Conc_ugNLhr","net_delta_Conc_ugNLhr_OM","flag"
"69","July","GB0.5m","GB",0.5,"NO3",0,0,0.025,"sediment",0.023,NA,23,8.18,2.08,0.008421228572,6.25,23,3.68,1.07969151670951,2.60030848329049,-7.71950452673952,FALSE
"70","July","GB0.5m","GB",0.5,"NO3",0,0,0.025,"sediment",0.04,NA,40,8.18,2.03,0.008218795193,6.25,40,6.4,1.07969151670951,5.32030848329049,-16.183358869381,FALSE
"71","July","GB0.5m","GB",0.5,"NO3",100,117.333333333333,0.025,"sediment",0.147,NA,147,8.18,2.05,0.008299768545,6.25,29.6666666666667,4.74666666666667,-0.259067357512953,5.00573402417962,-15.077932586431,FALSE
"72","July","GB0.5m","GB",0.5,"NO3",100,117.333333333333,0.025,"sediment",0.14,NA,140,8.18,2,0.008097335166,6.25,22.6666666666667,3.62666666666667,-0.259067357512953,3.88573402417962,-11.9969531473005,FALSE
"73","July","GB0.5m","GB",0.5,"NO3",100,117.333333333333,0.025,"sediment",0.151,NA,151,8.18,2.01,0.008137821841,6.25,33.6666666666667,5.38666666666667,-0.259067357512953,5.64573402417962,-17.344119023764,FALSE
"74","July","GB0.5m","GB",0.5,"NO3",200,214.666666666667,0.025,"sediment",0.263,NA,263,8.18,1.93,0.007813928435,6.25,48.3333333333333,7.73333333333334,4.43298969072165,3.30034364261168,-10.5591690212725,FALSE
"75","July","GB0.5m","GB",0.5,"NO3",200,214.666666666667,0.025,"sediment",0.28,NA,280,8.18,2.04,0.008259281869,6.25,65.3333333333333,10.4533333333333,4.43298969072165,6.02034364261168,-18.2229633825919,FALSE
"76","July","GB0.5m","GB",0.5,"NO3",200,214.666666666667,0.025,"sediment",0.259,NA,259,8.18,2.06,0.008340255221,6.25,44.3333333333333,7.09333333333333,4.43298969072165,2.66034364261168,-7.97440717375525,FALSE
"77","July","GB0.5m","GB",0.5,"NO3",800,853.333333333333,0.025,"sediment",0.893,NA,893,8.18,1.97,0.007975875138,6.3,39.6666666666666,6.29629629629629,9.46564885496183,-3.16935255866554,9.93418434914301,FALSE
"78","July","GB0.5m","GB",0.5,"NO3",800,853.333333333333,0.025,"sediment",0.874,NA,874,8.18,2.09,0.008461715248,6.3,20.6666666666666,3.28042328042327,9.46564885496183,-6.18522557453855,18.2741483058074,FALSE
"79","July","GB0.5m","GB",0.5,"NO3",800,853.333333333333,0.025,"sediment",0.9,NA,900,8.18,2.03,0.008218795193,6.3,46.6666666666666,7.4074074074074,9.46564885496183,-2.05824144755443,6.26077606030213,FALSE
"80","July","GB0.5m","GB",0.5,"NO3",1600,1570,0.025,"sediment",1.699,NA,1699,8.18,2.03,0.008218795193,6.33333333333333,129,20.3684210526316,21.7302798982188,-1.36185884558725,4.14251363371104,FALSE
"81","July","GB0.5m","GB",0.5,"NO3",1600,1570,0.025,"sediment",1.782,NA,1782,8.18,1.96,0.007935388462,6.33333333333333,212,33.4736842105263,21.7302798982188,11.7434043123075,-36.9969421426022,FALSE
"82","July","GB0.5m","GB",0.5,"NO3",1600,1570,0.025,"sediment",1.745,NA,1745,8.18,1.94,0.007854415111,6.33333333333333,175,27.6315789473684,21.7302798982188,5.90129904914959,-18.783381594146,FALSE
"83","July","GB0.5m","GB",0.5,"NO3",2000,1977.33333333333,0.025,"sediment",2.147,NA,2147,8.18,2.02,0.008178308517,6.33333333333333,169.666666666667,26.7894736842105,10.1772151898734,16.6122584943371,-50.7814618995044,FALSE
"84","July","GB0.5m","GB",0.5,"NO3",2000,1977.33333333333,0.025,"sediment",2.122,NA,2122,8.18,1.93,0.007813928435,6.33333333333333,144.666666666667,22.8421052631579,10.1772151898734,12.6648900732845,-40.5202395268817,FALSE
"85","July","GB0.5m","GB",0.5,"NO3",2000,1977.33333333333,0.025,"sediment",2.18,NA,2180,8.18,2.05,0.008299768545,6.33333333333333,202.666666666667,32,10.1772151898734,21.8227848101266,-65.7331125916554,FALSE
"86","July","GB3m","GB",3,"NO3",0,0,0.025,"sediment",0.022,NA,22,8.18,2.09,0.007217476958,6.23333333333333,22,3.52941176470588,1.07969151670951,2.44972024799637,-8.48537606095524,FALSE
"87","July","GB3m","GB",3,"NO3",0,0,0.025,"sediment",0.012,NA,12,8.18,1.95,0.006734009602,6.23333333333333,12,1.92513368983957,1.07969151670951,0.845442173130061,-3.13870273098127,FALSE
"88","July","GB3m","GB",3,"NO3",0,0,0.025,"sediment",0.013,NA,13,8.18,1.99,0.006872143132,6.23333333333333,13,2.0855614973262,1.07969151670951,1.00586998061669,-3.65922959292305,FALSE
"89","July","GB3m","GB",3,"NO3",100,117.333333333333,0.025,"sediment",0.086,NA,86,8.18,2.01,0.006941209897,6.23333333333333,-31.3333333333333,-5.02673796791444,-0.259067357512953,-4.76767061040148,17.1716123022806,FALSE
"90","July","GB3m","GB",3,"NO3",100,117.333333333333,0.025,"sediment",0.081,NA,81,8.18,1.92,0.006630409454,6.23333333333333,-36.3333333333333,-5.82887700534759,-0.259067357512953,-5.56980964783464,21.0010018479118,FALSE
"91","July","GB3m","GB",3,"NO3",100,117.333333333333,0.025,"sediment",0.078,NA,78,8.18,2.07,0.007148410193,6.23333333333333,-39.3333333333333,-6.31016042780749,-0.259067357512953,-6.05109307029453,21.1623735450296,FALSE
"92","July","GB3m","GB",3,"NO3",200,214.666666666667,0.025,"sediment",0.2,NA,200,8.18,2.07,0.007148410193,6.28333333333333,-14.6666666666667,-2.3342175066313,4.43298969072165,-6.76720719735295,23.6668259607558,FALSE
"93","July","GB3m","GB",3,"NO3",200,214.666666666667,0.025,"sediment",0.191,NA,191,8.18,2.08,0.007182943575,6.28333333333333,-23.6666666666667,-3.76657824933687,4.43298969072165,-8.19956794005852,28.5383278263414,FALSE
"94","July","GB3m","GB",3,"NO3",200,214.666666666667,0.025,"sediment",0.196,NA,196,8.18,1.93,0.006664942836,6.28333333333333,-18.6666666666667,-2.97082228116711,4.43298969072165,-7.40381197188876,27.7714758928532,FALSE
"95","July","GB3m","GB",3,"NO3",800,853.333333333333,0.025,"sediment",0.811,NA,811,8.18,2,0.006906676514,6.43333333333333,-42.3333333333334,-6.58031088082902,9.46564885496183,-16.0459597357908,58.0813351518104,FALSE
"96","July","GB3m","GB",3,"NO3",800,853.333333333333,0.025,"sediment",0.791,NA,791,8.18,1.96,0.006768542984,6.43333333333333,-62.3333333333334,-9.68911917098446,9.46564885496183,-19.1547680259463,70.749229454647,FALSE
"97","July","GB3m","GB",3,"NO3",800,853.333333333333,0.025,"sediment",0.791,NA,791,8.18,2.04,0.007044810045,6.43333333333333,-62.3333333333334,-9.68911917098446,9.46564885496183,-19.1547680259463,67.974749864055,FALSE
