Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,Percent_water,Sample_dryweight_g,
SH_3m,SH,3,117,Sed_NA_117,2023-05-25,May,3,2085.2,2.0852,0.025,200,,NO3,200,sediment,6,8:47,15:09,6:22,2,,0.18,,0.18,N,0.201,1.6660748,
SH_3m,SH,3,118,Sed_NA_118,2023-05-25,May,1,2183.9,2.1839,0.025,500,,NO3,500,sediment,6,8:48,15:12,6:24,3,,0.499,,0.499,N,0.201,1.7449361,
SH_3m,SH,3,119,Sed_NA_119,2023-05-25,May,2,2136.5,2.1365,0.025,500,,NO3,500,sediment,6,8:48,15:12,6:24,3,,0.455,,0.455,N,0.201,1.7070635,
SH_3m,SH,3,120,Sed_NA_120,2023-05-25,May,3,1997.9,1.9979,0.025,500,,NO3,500,sediment,6,8:48,15:12,6:24,3,,0.489,,0.489,N,0.201,1.5963221,
SH_3m,SH,3,121,Sed_NA_121,2023-05-25,May,1,2103.2,2.1032,0.025,800,,NO3,800,sediment,6,8:50,15:17,6:27,,,0.76,,0.76,N,0.201,1.6804568,
SH_3m,SH,3,122,Sed_NA_122,2023-05-25,May,2,2150.5,2.1505,0.025,800,,NO3,800,sediment,6,8:50,15:17,6:27,,,0.745,,0.745,N,0.201,1.7182495,
SH_3m,SH,3,123,Sed_NA_123,2023-05-25,May,3,2124.4,2.1244,0.025,800,,NO3,800,sediment,6,8:50,15:17,6:27,,,0.803,,0.803,N,0.201,1.6973956,
SH_3m,SH,3,124,Sed_NA_124,2023-05-25,May,1,2121.6,2.1216,0.025,1200,,NO3,1200,sediment,6,8:52,15:21,6:29,,,1.132,,1.132,N,0.201,1.6951584,
SH_3m,SH,3,125,Sed_NA_125,2023-05-25,May,2,2149.5,2.1495,0.025,1200,,NO3,1200,sediment,6,8:52,15:21,6:29,,,1.174,,1.174,N,0.201,1.7174505,
SH_3m,SH,3,126,Sed_NA_126,2023-05-25,May,3,1993.7,1.9937,0.025,1200,,NO3,1200,sediment,6,8:52,15:21,6:29,,,1.159,,1.159,N,0.201,1.5929663,
GB_10m,GB,10,127,Sed_NA_127,2023-05-25,May,1,2193.6,2.1936,0.025,0,,NO3,0,sediment,6,8:44,15:03,6:19,2,,-0.002,,-0.002,N,0.286,1.5662304,
GB_10m,GB,10,128,Sed_NA_128,2023-05-25,May,2,2037.1,2.0371,0.025,0,,NO3,0,sediment,6,8:44,15:03,6:19,2,,0.003,,0.003,N,0.286,1.4544894,
GB_10m,GB,10,129,Sed_NA_129,2023-05-25,May,3,2137.5,2.1375,0.025,0,,NO3,0,sediment,6,8:44,15:03,6:19,2,,-0.001,,-0.001,N,0.286,1.526175,
GB_10m,GB,10,130,Sed_NA_130,2023-05-25,May,1,2000.1,2.0001,0.025,100,,NO3,100,sediment,6,8:44,15:05,6:21,2,,0.088,,0.088,N,0.286,1.4280714,
